Category,Expected Expenditures
Navy,5141.99
CMC,0
Food,-750
Gas,-400
Travel,-400
Games,-200
Wedding,0
Rent,-2987.5
Utilities,-200
Internet,-40
Cell phone,-100
Subscriptions,-50.33
Car Expenses,-1000
Other,-1200
Military,-100
Gifts,-200
Other wedding,0
Loan,1000
Loan Payoff,-449.93
Retirement,-250
Cash,0
Gym membership,-139
Interest,20
Masha,1100
Sports,-100
Savings,0
Medical,0
Tech/Work,0
