Category,Expected Expenditures
Navy,5141.99
CMC,35
Food,-750
Gas,-200
Travel,-250
Games,-200
Wedding,0
Rent,1400
Utilities,-200
Internet,-0
Cell phone,-50
Subscriptions,-53.95
Car Expenses,-62.08
Other,-100
Military,-250
Gifts,-250
Other wedding,0
Loan,0
Loan Payoff,-449.93
Retirement,0
Cash,0
Gym membership,-50
Interest,10
Masha,-1000
Sports,-150
Tech/Work,0
