Category,Expected Expenditures
Navy,4468.8
CMC,0
Food,-750
Gas,-400
Travel,-500
Games,-175
Wedding,-1285.71
Rent,0
Utilities,0
Internet,0
Cell phone,-70
Subscriptions,-29.49
Car Expenses,-68.09
Other,-250
Military,0
Gifts,0
Other wedding,0
Loan,0
Loan Payoff,0
Retirement,-200
Cash,0
Gym membership,0
Interest,3
Masha,0
Sports,0
Savings,0
Medical,0
Tech/Work,0
