Category,Expected Expenditures
Navy,5141.99
CMC,0
Food,-750
Gas,-200
Travel,-250
Games,-250
Wedding,0
Rent,400
Utilities,-200
Internet,-40
Cell phone,-50
Subscriptions,-50.33
Car Expenses,-68.14
Other,-100
Military,-100
Gifts,-200
Other wedding,0
Loan,0
Loan Payoff,-549.93
Retirement,0
Cash,0
Gym membership,-50
Interest,20
Masha,500
Sports,-100
Tech/Work,0
