Category,Expected Expenditures
Navy,5141.99
CMC,40
Food,-750
Gas,-200
Travel,-700
Games,-300
Wedding,0
Rent,-786
Utilities,-200
Internet,-0
Cell phone,-70
Subscriptions,-73.63
Car Expenses,-62.08
Other,-100
Military,-250
Gifts,-300
Other wedding,0
Loan,0
Loan Payoff,-449.93
Retirement,0
Cash,0
Gym membership,-50
Interest,10
Masha,0
Sports,-150
Tech/Work,-50
