Days,Values,Flags,Account
25,250,GI,VM
25,500,GI,VM
31,0.01,I,NF
28,-786,R,NF
27,2518.74,N,NF
15,-449.93,LP,NF
13,2518.75,N,NF
31,1.09,I,C1S
21,600,M,C1S
31,0.20,I,C1S
27,500.88,M,C1S
26,-1025,M,C1S
26,0.95,GM,C1S
25,-103,GM,C1S
18,346,CMC,C1S
18,59.08,ST,C1S
13,3051.98,M,C1S
11,-2.99,O,C1S
10,-13.91,F,C1S
08,-190,M,C1S
07,-80,M,C1S
07,-62.08,CR,C1S
06,-15,M,C1S
05,-1674.42,M,C1S
05,0.99,GM,C1S
30,-9.99,F,C1C
30,-16.31,F,C1C
30,-5.70,F,C1C
29,-16.19,F,C1C
29,-2.99,S,C1C
28,-168.98,F,C1C
28,-25.42,F,C1C
28,-24.75,F,C1C
28,-26.96,F,C1C
28,-33.99,T,C1C
28,-12.72,F,C1C
27,-39.58,G,C1C
27,-3.50,F,C1C
27,-4.17,T,C1C
27,-4.45,TE,C1C
26,-44.94,F,C1C
26,-3.10,S,C1C
26,-332,GI,C1C
26,-100,SP,C1C
26,-19.50,F,C1C
26,-106.24,GM,C1C
26,-15.49,S,C1C
22,-11.49,F,C1C
21,-10.27,F,C1C
20,-11.96,F,C1C
20,-4.20,GM,C1C
19,-42.67,G,C1C
19,-22.88,M,C1C
19,-2.5,F,C1C
19,-60.18,PT,C1C
19,-27.36,F,C1C
19,-4.09,F,C1C
18,-39.02,F,C1C
18,-45.08,GI,C1C
18,-14.54,F,C1C
16,-29.25,F,C1C
16,-41.85,F,C1C
16,-1,T,C1C
15,-35.14,F,C1C
15,-7.44,F,C1C
15,-13.23,TE,C1C
14,-52.33,F,C1C
14,-139.26,F,C1C
14,-25.05,F,C1C
14,-17.85,F,C1C
13,-5,S,C1C
13,-32.20,G,C1C
12,-34.78,GM,C1C
12,6.45,PT,C1C
12,-28.92,PT,C1C
12,-18.92,GI,C1C
11,-93.84,PT,C1C
11,-20,SP,C1C
11,-44.06,PT,C1C
11,-14.19,F,C1C
11,-7.22,GM,C1C
11,-38.38,GM,C1C
11,-49.21,G,C1C
11,-0.5,T,C1C
09,7.63,I,C1C
09,-21.40,GM,C1C
09,-7.47,F,C1C
08,-39.55,PT,C1C
07,-6.07,F,C1C
07,-22.98,F,C1C
05,-180.080,F,C1C
05,-39.27,F,C1C
05,-4.37,F,C1C
04,-9.56,F,C1C
02,-2.78,F,C1C
02,-14.18,S,C1C
02,-45,GY,C1C
02,7.20,I,C1C
01,-33.0,MI,C1C
31,-51.07,GI,AM
30,-13.09,S,AM
30,-25.32,SP,AM
30,-70.35,F,AM
30,-2.99,G,AM
29,-17.13,F,AM
27,-5,S,AM
23,-21.92,F,AM
23,-16.33,GI,AM
23,-35.14,F,AM
23,-24.39,F,AM
22,-54,T,AM
22,-7.31,T,AM
22,-18.09,T,AM
21,-56.98,ME,AM
21,-57.33,F,AM
20,-11,GM,AM
19,-117.50,O,AM
17,-11.01,GI,AM
16,-44.72,O,AM
16,-15,T,AM
16,-52.22,T,AM
16,-103.56,F,AM
15,-100.45,T,AM
13,-8.03,GM,AM
13,-8.03,GM,AM
07,-5,S,AM
04,-6.55,S,AM
03,-13.50,T,AM
03,-20.35,F,AM
02,-41.21,G,AM
02,-56.93,GM,AM
