Category,Expected Expenditures
Navy,4230.45
CMC,140
Food,-1050
Gas,-150
Travel,-150
Games,-200
Wedding,-1522.04
Rent,-475
Utilities,-50
Internet,0
Cell phone,-70
Subscriptions,-68.5
Car Expenses,-68.09
Other,-200
Military,-300
Gifts,-250
Other wedding,0
Loan,0
Loan Payoff,0
Retirement,-200
Cash,-100
Gym membership,0
Interest,3
Masha,0
Sports,0
Savings,0
Medical,0
Tech/Work,0
