Category,Expected Expenditures
Navy,4988.98
CMC,140
Food,-900
Gas,-200
Travel,-50
Games,-250
Wedding,0
Rent,-2200
Utilities,-100
Internet,-40
Cell phone,0
Subscriptions,-50.33
Car Expenses,-68.14
Other,-250
Military,-100
Gifts,-250
Other wedding,0
Loan,0
Loan Payoff,-449.93
Retirement,-250
Cash,0
Gym membership,-139
Interest,0.06
Masha,1100
Sports,-100
Savings,0
Medical,0
Tech/Work,0
