Category,Expected Expenditures
Navy,3166.57
CMC,140
Food,-900
Gas,-400
Travel,-500
Games,-150
Wedding,-4783.56
Rent,-5900
Utilities,0
Internet,0
Cell phone,-70
Subscriptions,-47.49
Car Expenses,-68.09
Other,-750
Military,0
Gifts,0
Other wedding,0
Loan,25000
Loan Payoff,0
Retirement,-200
Cash,-120
Gym membership,0
Interest,3
Masha,-3000
Sports,0
Savings,0
Medical,0
Tech/Work,0
